id_customer,desc_vehicle,segment
customer_33,FIAT-NOVA STRADA ENDURANCE CS 1.4,engineering
customer_3,VW-GOL TREND 1.6 FLEX 4P,engineering
customer_26,TOYOTA-HILUX CS 4X4,engineering
customer_79,TOYOTA-HILUX CD 4X4 STANDART,engineering
customer_62,FIAT - ARGO DRIVE 1.0,engineering
customer_26,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,engineering
customer_70,TOYOTA-HILUX CS 4X4,engineering
customer_97,VW-GOL TREND 1.6 FLEX 4P,engineering
customer_26,FIAT - ARGO DRIVE 1.0,engineering
customer_52,SAVEIRO CS RB MPI,engineering
customer_79,FIAT-NOVA STRADA ENDURANCE CS 1.4,engineering
customer_79,DUSTER OROCH EXPRESS 1.6 SCE,engineering
customer_31,FIAT-NOVA STRADA ENDURANCE CS 1.4,engineering
customer_94,VW-GOL TREND 1.6 FLEX 4P,engineering
customer_87,FIAT-NOVA STRADA ENDURANCE CS 1.4,engineering
customer_97,TOYOTA-HILUX CS 4X4,engineering
customer_31,HILUX CS DSL 4X4,engineering
customer_62,DUSTER OROCH EXPRESS 1.6 SCE,engineering
customer_20,TOYOTA-HILUX CS 4X4,engineering
customer_97,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,engineering
customer_3,FIAT-NOVA STRADA ENDURANCE CS 1.4,engineering
customer_70,TOYOTA-HILUX CS 4X4,engineering
customer_79,TOYOTA-HILUX CS 4X4,engineering
customer_62,FIAT-NOVA STRADA ENDURANCE CS 1.4,engineering
customer_87,DUSTER OROCH EXPRESS 1.6 SCE,engineering
customer_70,GM-S10 CABINE SIMPLES,engineering
customer_87,FIAT-NOVA STRADA ENDURANCE CS 1.4,engineering
customer_73,HILUX CS DSL 4X4,engineering
customer_26,VW-GOL TREND 1.6 FLEX 4P,engineering
customer_70,TOYOTA-HILUX CS 4X4,engineering
customer_52,HILUX CS DSL 4X4,engineering
customer_62,FIAT - ARGO DRIVE 1.0,engineering
customer_94,FIAT-NOVA STRADA ENDURANCE CS 1.4,engineering
customer_97,GM-S10 CABINE SIMPLES,engineering
customer_97,HILUX CS DSL 4X4,engineering
customer_97,SAVEIRO CS RB MPI,engineering
customer_91,VW-GOL TREND 1.6 FLEX 4P,engineering
customer_52,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,engineering
customer_70,TOYOTA-HILUX CS 4X4,engineering
customer_70,VW-GOL TREND 1.6 FLEX 4P,engineering
customer_70,FIAT-NOVA STRADA ENDURANCE CS 1.4,engineering
customer_97,MITSUBISHI-L200 TRITON GL 2.4 D 4X4 MT CD,engineering
customer_94,FIAT-NOVA STRADA ENDURANCE CS 1.4,engineering
customer_91,HILUX CS DSL 4X4,engineering
customer_31,TOYOTA-HILUX CS 4X4,engineering
customer_26,GM-S10 CABINE SIMPLES,engineering
customer_40,HILUX CS DSL 4X4,engineering
customer_3,TOYOTA-HILUX CD 4X4 STANDART,engineering
customer_52,GM-S10 CABINE SIMPLES,engineering
customer_20,VW-GOL TREND 1.6 FLEX 4P,engineering
customer_73,FIAT-NOVA STRADA ENDURANCE CS 1.4,engineering
customer_33,DUSTER OROCH EXPRESS 1.6 SCE,engineering
