License Plate,Transaction Type,Segment
NQT-604,Sale,mining
QSS-101,Sale,mining
CSQ-841,Sale,mining
EPR-550,Sale,mining
SFE-449,Sale,mining
GSG-071,Sale,mining
XYJ-983,Sale,mining
JXW-122,Sale,mining
KOR-124,Sale,mining
ATO-445,Sale,mining
DUL-877,Sale,mining
PRH-141,Sale,mining
ZYI-764,Sale,mining
YKG-188,Sale,energy
SWE-812,Rental,other
SWE-812,Rental,other
SWE-812,Rental,other
SWE-812,Rental,other
SWE-812,Rental,other
SWE-812,Rental,other
SWE-812,Rental,other
SWE-812,Rental,other
ZDV-258,Rental,other
ZDV-258,Rental,other
ZDV-258,Rental,other
ZDV-258,Rental,other
ZDV-258,Rental,other
ZDV-258,Rental,other
ZDV-258,Rental,other
ZDV-258,Rental,other
JDE-519,Rental,other
JDE-519,Rental,other
JDE-519,Rental,other
JDE-519,Rental,other
JDE-519,Rental,other
JDE-519,Rental,other
JDE-519,Rental,other
JDE-519,Rental,other
UVZ-659,Rental,other
UVZ-659,Rental,other
UVZ-659,Rental,other
UVZ-659,Rental,other
UVZ-659,Rental,other
UVZ-659,Rental,other
UVZ-659,Rental,other
UVZ-659,Rental,other
UVZ-659,Sale,other
JUC-393,Rental,other
JUC-393,Rental,other
JUC-393,Rental,other
JUC-393,Rental,other
JUC-393,Rental,other
JUC-393,Rental,other
JUC-393,Rental,other
JUC-393,Rental,other
JUC-393,Sale,other
DGM-478,Rental,other
DGM-478,Rental,other
DGM-478,Rental,other
DGM-478,Rental,other
DGM-478,Rental,other
DGM-478,Rental,other
DGM-478,Rental,other
DGM-478,Rental,other
KYQ-680,Rental,other
KYQ-680,Rental,other
KYQ-680,Rental,other
KYQ-680,Rental,other
KYQ-680,Rental,other
KYQ-680,Rental,other
KYQ-680,Rental,other
KYQ-680,Rental,other
YMI-955,Rental,other
YMI-955,Rental,other
YMI-955,Rental,other
YMI-955,Rental,other
YMI-955,Rental,other
YMI-955,Rental,other
YMI-955,Rental,other
YMI-955,Rental,other
YMI-955,Sale,other
ECA-280,Rental,other
ECA-280,Rental,other
ECA-280,Rental,other
ECA-280,Rental,other
ECA-280,Rental,other
ECA-280,Rental,other
